ACO Identifier,ACO Name,Start Date,Track 2 ACO,Advance pay status,Interim payment election,Advanced payment amount,Quality Score,Quality Performance Sharing Rate,Final sharing rate,Minimum Loss Rate (%),Minimum Savings Rate (%),Total benchmark expenditures ($),Total savings/losses ($),Shared Savings ($),Shared Losses ($),Total number of assigned beneficiaries,Total assigned beneficiary person years,Total number of ESRD assigned beneficiary person years,Total number of DISABLED  assigned beneficiary person years,Total number of AGED/DUAL assigned beneficiary person years,Total number of AGED/NON-DUAL assigned beneficiary person years,"Total number of assigned beneficiaries, age 0-64","Total number of assigned beneficiaries, age 65-74","Total number of assigned beneficiaries, age 75-84","Total number of assigned beneficiaries, age 85+","Total number of assigned beneficiaries, Female","Total number of assigned beneficiaries, Male","Total number of assigned beneficiaries, Non-Hispanic White","Total number of assigned beneficiaries, Black","Total number of assigned beneficiaries, Asian","Total number of assigned beneficiaries, Hispanic","Total number of assigned beneficiaries, North American Native","Total number of assigned beneficiaries, Other",Total performance year spending per assigned beneficiary,Total expenditures per assigned ESRD beneficiary,Total expenditures per assigned DISABLED beneficiary,Total expenditures per assigned AGED/DUAL beneficiary,Total expenditures per assigned AGED/NON-DUAL beneficiary,Total inpatient spending per assigned beneficiary,Acute care hospital (IPPS/CAH) spending per assigned beneficiary,Long-term care hospital spending per assigned beneficiary,Inpatient rehabilitation facility (IRF) spending per assigned beneficiary,Inpatient psychiatric hospital spending per assigned beneficiary,Hospice spending per assigned beneficiary,Skilled nursing facility spending per assigned beneficiary,Other inpatient spending per assigned beneficiary,Physician/supplier spending per assigned beneficiary,Ambulance spending per assigned beneficiary,Home health spending per assigned beneficiary,Durable medical equipment spending per assigned beneficiary,"Inpatient hospital discharges per 1,000 person years","Acute care hospital discharges per 1,000 person years","LTCH discharges per 1,000 person years","IRF discharges per 1,000 person years","IPF discharges per 1,000 person years","CHF (PQI8) discharges  per 1,000 person years","COPD/Asthma (PQI5) discharges per 1,000 person years","Bacterial Pneumonia (PQI11) discharges per 1,000 person years","Acute care readmissions (all-cause 30 day) per 1,000 discharges","Post-acute care discharge provider visits (30 day)  per 1,000 discharges","Skilled nursing facility discharges per 1,000 person years","Outpatient ED visits per 1,000 person years","Inpatient ED visits per 1,000 person years","Computed tomography (CT) events per 1,000 person years","Magnetic resonance imaging (MRI) events per 1,000 person years","Primary care services per 1,000 person years","Primary care services with a PCP per 1,000 person years","Primary care services with a specialist per 1,000 person years","Primary care services with a NP/PA/CNS per 1,000 person years","Primary care services with a FQHC/RHC per 1,000 person years",Number of CAH IIs,Number of FQHCs,Number of RHCs,Number of ETA hospitals,Number of other facility types,Number of participating PCPs,Number of participating specialists,Number of participating nurse practitioners,Number of participating physician assistants,Number of participating clinical nurse specialist,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY
A46707,"Premier ACO Physician Network, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.029477896%,$190372822.60,$187272975.90,$3099846.71,$0.00,,10870,8581.25,157,1335.916667,1511.333333,5577,1717,3454,2316,1351,5160,3678,6142,968,602,658,17,$451.00,$90720.23,$11103.75,$13878.32,$10707.23,$4299.67,$3411.14,$607.46,$334.81,$92.25,$232.54,$1630.59,$0.33,$4275.83,$257.95,$862.00,$306.71,356.125,316.504,15.965,15.499,8.041,11.187,8.740,9.206,160.377,761.006,98.121,687.779,263.714,637.087,302.287,11674.406,4836.591,6640.175,190.415,7.225,0,0,0,0,0,119,116,12,1,0,1.043248837,1.377661455,1.077567253,1.264299281,1.068545595,1.430286691,1.080947345,1.240882383,1.020385641,1.357259152,1.113349795,1.249652329,1.001237507,1.255506527,1.080172691,1.199887706
A28708,"Advocate Physician Partners Accountable Care, Inc.",07/01/2012,0,0,0,,1,0.5,0.5,,0.02%,$1971054550.00,$1968199107.00,$2855442.64,$0.00,,139369,119924.6667,1402.583333,12745.5,4651,101125.5833,17811,54638,35103,15989,73438,50103,96747,19268,2344,2082,52,$3048.00,$84179.04,$10643.02,$15911.79,$9854.26,$3506.09,$3142.34,$95.91,$219.66,$95.64,$299.58,$1483.88,$0.02,$3354.32,$146.62,$833.65,$243.69,369.087,343.263,2.460,12.574,10.782,14.367,11.215,8.956,171.034,790.937,122.634,645.983,275.304,699.508,271.652,9685.816,4577.527,4402.043,694.647,11.599,0,0,0,0,14,1172,1375,216,3,18,1.043013747,1.110678424,1.050058048,1.042401449,1.036823607,1.123516152,1.036596092,1.039759549,1.040664273,1.123255565,1.05123161,1.048614212,1.032809805,1.13800807,1.056248425,1.055684301
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",04/01/2012,0,0,0,,1,0.5,0.5,,0.023674656%,$397492201.80,$369569629.30,$27922572.44,$13682060.50,,33253,25585.5,230.5833333,5979.916667,1226.75,18148.25,7250,9290,6414,3507,14555,11906,23568,2053,150,100,45,$545.00,$66085.67,$6654.68,$9307.97,$7246.31,$2450.81,$2243.34,$3.85,$136.74,$75.33,$129.25,$630.66,$0.00,$2580.58,$87.93,$437.29,$253.74,273.319,257.451,0.039,7.465,8.364,14.188,7.739,6.879,123.557,797.353,64.802,627.035,201.325,776.104,240.644,8951.007,3526.411,3936.331,1483.887,4.377,0,0,0,0,9,311,828,204,8,0,1.072821409,0.979738348,1.051894381,1.110685889,1.059775129,0.994177935,1.033124551,1.095549559,1.050530415,0.972328447,1.037570228,1.107266492,1.016576168,0.981631143,0.956166871,1.076030095
A84936,"Physicians of Cape Cod ACO, Inc.",04/01/2012,1,0,1,,1,0.6,0.6,-0.02%,0.02%,$77975177.97,$79231731.26,$-1256553.28,$0.00,0,5800,4251.333333,14.08333333,223.75,73.91666667,3939.583333,389,1763,1453,804,2416,1993,4247,52,9,6,4,$91.00,$93259.68,$8263.40,$18395.80,$9914.83,$3086.00,$2788.57,$48.39,$200.23,$86.06,$887.12,$1131.65,$0.00,$3006.87,$178.35,$662.81,$185.64,250.980,232.868,2.117,9.879,6.116,9.879,2.823,4.704,126.633,822.111,98.793,554.885,192.410,525.247,239.219,9181.120,4135.173,4251.372,775.992,18.582,0,0,0,0,0,10,62,10,0,0,0.981950533,0.985124551,1.050553849,1.004531514,0.924848127,1.049384347,0.970668152,1.031097052,1.07564867,1.028864835,1.113925359,1.031043135,1.033456836,1.025341637,1.049127455,1.061294527
A85439,"RGV ACO Health Providers, LLC",04/01/2012,1,1,1,1792996,1,0.6,0.6,-0.02%,0.02%,$140825861.30,$120586479.90,$20239381.44,$11900756.29,0,7089,5766,169.6666667,849.4166667,2373.083333,2373.833333,1110,2256,1889,677,3460,2472,4351,14,14,1460,5,$88.00,$70290.40,$8656.35,$11734.69,$9029.14,$3855.46,$2736.29,$426.47,$751.93,$27.77,$363.10,$447.30,$1.87,$3656.71,$270.29,$1311.26,$366.40,343.853,274.319,11.965,52.540,5.029,13.178,5.029,6.936,127.907,774.419,39.882,609.329,213.109,655.800,275.533,13031.212,8444.945,4167.852,351.483,66.933,0,0,0,0,0,23,4,5,0,0,1.087741218,1.29183018,1.142601901,1.193960545,1.056407876,1.254176125,1.14515369,1.162698051,1.053356119,1.227294014,1.138255211,1.241784936,1.053527744,1.173773819,1.091837581,1.17026257
A15929,"West Florida ACO, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.029806761%,$186054154.60,$177952497.90,$8101656.66,$3969811.76,,10322,8205.833333,63.41666667,861.75,348.0833333,6932.583333,1139,3065,2736,1535,5054,3421,8064,163,66,53,8,$121.00,$87977.00,$11290.25,$15681.32,$11084.01,$3310.20,$2952.66,$161.10,$210.48,$49.52,$435.01,$1369.79,$0.00,$4473.87,$127.87,$1080.37,$288.52,398.375,372.662,4.509,13.040,8.165,13.161,16.208,7.799,145.907,790.683,116.624,652.097,305.758,786.636,344.755,11739.088,5303.544,5789.053,628.699,17.792,0,0,0,0,0,94,7,20,0,0,1.051881639,1.367868473,1.168556236,1.27945463,1.089669933,1.33548185,1.244111279,1.321339759,1.033653397,1.293638621,1.215874922,1.340779105,1.104238041,1.320703857,1.204957385,1.329643613
A64206,"Crystal Run Healthcare ACO, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.028235047%,$208622533.30,$207666071.90,$956461.41,$0.00,,12941,10506.41667,100.4166667,2238.25,574.5833333,7593.166667,2811,4391,2503,1263,6321,4647,9658,747,62,242,8,$251.00,$89058.85,$9230.81,$15468.67,$10802.79,$4199.38,$3678.65,$36.67,$334.15,$165.91,$132.94,$1645.88,$0.00,$3750.12,$196.91,$302.45,$297.04,352.642,317.330,1.904,18.941,14.467,15.800,7.995,9.899,170.933,829.067,116.881,710.899,262.792,770.482,235.666,12237.284,3579.432,7621.438,1021.757,14.658,0,0,0,0,0,76,175,16,0,0,1.121333887,1.011440798,1.085499452,1.177403705,1.102915181,1.029195935,1.08429648,1.16242205,1.061807809,1.027370054,1.17467994,1.150438374,1.071906661,0.993634616,1.049679538,1.116067367
A14269,"Dean Clinic and St. Mary's Hospital Accountable Care Organization, LLC",07/01/2012,1,0,0,,1,0.6,0.6,-0.02%,0.02%,$197934064.80,$207900445.10,$-9966380.30,$0.00,-3986552.12,20979,18088.58333,103.5833333,2820.5,546.6666667,14617.83333,3701,7965,4628,2379,10641,8032,17645,433,145,66,37,$347.00,$71300.60,$7125.68,$9827.88,$7281.49,$2517.44,$2359.92,$63.07,$39.63,$74.06,$473.28,$878.55,$1.27,$2245.47,$108.74,$319.57,$198.34,281.669,268.346,1.714,2.432,9.122,11.775,10.006,10.006,146.427,770.962,73.361,646.485,190.009,542.607,221.632,7223.507,3068.842,2863.519,1287.055,4.091,0,0,0,0,1,194,542,52,1,2,0.953173014,0.992437367,0.937779443,0.924759809,0.955096026,0.965054704,0.920442934,0.91974015,0.98928876,0.962287538,0.897929783,0.929609127,0.953399287,0.957843147,0.92901874,0.908974003
A09903,"Jackson Purchase Medical Associates, PSC",04/01/2012,0,1,0,1715884,1,0.5,0.5,,0.035725726%,$86534813.77,$80797046.19,$5737767.57,$2811506.11,,6137,5196.916667,31,608.8333333,169.75,4387.333333,807,2115,1659,785,3174,2192,5095,231,2,2,4,$32.00,$59876.00,$7656.05,$13843.51,$8266.02,$2820.24,$2550.00,$0.00,$220.91,$51.38,$178.25,$786.80,$0.00,$2765.21,$103.44,$447.83,$282.54,347.129,331.350,0.000,12.507,3.271,14.047,9.814,15.586,133.100,803.853,90.246,543.592,207.046,649.616,234.562,9950.516,4105.319,3527.091,2290.974,27.131,0,0,0,0,0,14,9,11,0,0,1.016352023,1.124319069,1.146963422,1.077464015,1.019884649,1.103118872,1.145853885,1.064521814,1.027687286,1.098197741,1.12300867,1.088485559,0.973374379,1.117164837,1.08261856,1.116272783
A86333,"Accountable Healthcare Alliance, PC",07/01/2012,0,0,0,,0,0.5,0,,0.034992993%,$89128046.66,$87126445.67,$2001600.98,$0.00,,6503,5566.083333,36.83333333,829.75,171.25,4528.25,1046,2129,1671,909,3376,2379,5389,248,17,24,4,$73.00,$70442.00,$7578.30,$16995.64,$10068.92,$3648.29,$3191.82,$74.15,$368.74,$56.68,$158.99,$1083.95,$0.41,$3190.43,$134.35,$560.71,$205.88,408.905,374.949,2.156,21.918,9.702,12.576,18.505,10.959,153.241,781.944,98.992,725.286,320.333,741.994,187.385,10020.870,5844.145,3772.671,394.892,9.163,0,0,0,0,0,31,25,2,0,0,1.057549892,1.132683037,1.080726686,1.161779367,1.173910981,1.137414428,1.135429942,1.159287188,1.04960728,1.127214496,1.156679862,1.178543413,1.054240668,1.140744186,1.192848326,1.171895337
A76034,"Coastal Carolina Quality Care, Inc.",04/01/2012,0,1,0,3083992,1,0.5,0.5,,0.028238048%,$171531054.50,$172517722.60,$-986668.13,$0.00,,12936,11401.58333,93.58333333,1035.916667,479.25,9792.833333,1539,5486,3441,1260,6691,5035,9928,1649,20,9,6,$114.00,$67403.48,$8934.73,$13020.40,$8030.72,$2868.53,$2710.89,$7.10,$136.03,$26.53,$186.37,$349.87,$0.00,$3461.54,$91.98,$248.85,$287.99,254.614,244.440,0.351,8.332,1.491,10.174,2.982,5.964,118.307,785.094,42.187,550.450,180.677,861.898,431.870,10514.768,4349.396,4554.280,1604.953,6.139,0,0,0,0,0,26,26,12,0,0,0.999585655,1.054834233,1.102970014,0.912984976,0.99163397,1.054558812,1.081095256,0.925638896,0.977023991,1.052317767,1.103657062,0.939509984,1.004180797,1.099174132,1.1170139,0.965976367
A05657,Quality Independent Physicians,07/01/2012,0,1,0,2933104,1,0.5,0.5,,0.02765113%,$207732696.80,$206443320.90,$1289375.92,$0.00,,13914,11545.25,132.5,2084.916667,682.5,8645.333333,2574,4563,3260,1630,7019,5008,9952,1869,39,17,7,$143.00,$75676.36,$11027.21,$18068.30,$10393.12,$4061.00,$3567.71,$204.41,$183.96,$197.37,$229.68,$1689.30,$0.00,$3116.83,$243.83,$557.51,$376.72,453.173,417.401,4.591,11.520,19.662,19.229,14.985,18.882,176.106,805.291,180.074,862.259,312.683,902.362,310.344,11128.906,5036.270,4061.584,2016.933,14.118,0,0,0,0,0,60,3,32,0,0,1.061034635,1.229392601,1.260621065,1.137338267,1.056455639,1.184737939,1.217509427,1.117329984,1.050594914,1.206261804,1.119791711,1.115373637,1.095078302,1.239037964,1.338933237,1.140244653
A34299,Jordan Community ACO,04/01/2012,0,0,1,,1,0.5,0.5,,0.033273273%,$118415847.90,$122647003.70,$-4231155.79,$0.00,,7363,5937.583333,28.41666667,743.9166667,232.5833333,4932.666667,998,2806,1544,811,3415,2744,5922,82,14,16,6,$119.00,$96943.96,$11533.35,$18152.19,$11460.63,$4241.71,$3552.95,$205.12,$272.23,$272.06,$535.57,$1221.73,$0.00,$2963.31,$282.55,$825.57,$227.60,362.269,321.006,5.558,11.284,24.421,15.495,16.673,11.621,149.586,800.725,125.809,903.398,274.017,697.253,272.670,9862.935,3461.341,5109.655,1286.045,5.895,0,0,0,0,1,71,249,37,0,3,1.117239222,1.187037267,1.00025849,1.067217206,1.038658743,1.08509346,0.955252791,1.058647562,1.001869613,1.114043627,0.946880973,1.048210355,1.065719629,1.069321577,0.979922177,1.057302117
A67604,"AppleCare Medical ACO, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.03066967%,$186341098.40,$187495584.20,$-1154485.80,$0.00,,9330,6994.916667,265.3333333,1288,2332.083333,3109.5,1686,2527,1996,1024,4169,3064,4302,742,399,1393,15,$382.00,$85492.76,$13646.09,$13689.18,$10933.00,$5311.30,$4093.01,$947.09,$131.73,$322.54,$450.06,$1974.19,$0.00,$4219.80,$380.97,$1119.02,$347.51,430.741,372.413,27.163,5.433,25.733,11.580,9.435,10.579,180.346,721.384,122.232,764.698,335.100,556.261,228.738,11330.085,4733.866,5903.430,683.925,8.864,0,0,0,0,0,122,199,16,1,0,1.011365419,1.292970359,1.071186068,1.198951361,1.015565679,1.30187994,1.071075242,1.17407728,1.007662177,1.303282314,1.050808833,1.149447259,1.022201658,1.335406282,1.099521855,1.182771974
